id,foodie_name,updated_date,gender,age_range,occupation,live_district,favor_chinese,favor_western,favor_veg,favor_organic,favor_japan,favor_korean,favor_thai,favor_seafood,favor_muslim,favor_no_beef,favor_no_pork,foodie_desc,foodie_photo,is_mvp,user_id
1,Admin,2025-06-21 05:23:14.923801+00:00,Other,18-25,other,Kwun Tong,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,foodie_photos/logo.png,FALSE,1
2,User1,2025-06-21 05:23:14.923801+00:00,Female,18-25,technical,Yuen Long,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,超鐘意試街坊小店，兩餸飯係每日精神支柱。,foodie_photos/logo1.jpg,FALSE,2
3,User2,2025-06-21 05:23:14.923801+00:00,Male,46-55,driver,Kwai Tsing,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,唔鍾意太油，但食得出邊間煮得用心。,foodie_photos/logo2.jpg,FALSE,3
4,User3,2025-06-21 05:23:14.923801+00:00,Male,26-35,office,Sha Tin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,我係白飯殺手，配餸最緊要夠味又唔太鹹。,foodie_photos/logo3.jpg,FALSE,4
5,User4,2025-06-21 05:23:14.923801+00:00,Male,36-45,wife,Sai Kung,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,每日中午都會搵新地方食飯，順便比個評分。,foodie_photos/logo4.jpg,FALSE,5
6,User5,2025-06-21 05:23:14.923801+00:00,Male,26-35,other,Central & Western,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,兩餸飯要平靚正又唔hea煮，唔係即刻轉場。,foodie_photos/logo5.jpg,FALSE,6
7,User6,2025-06-21 05:23:14.923801+00:00,Male,18-25,office,Sham Shui Po,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,鍾意試新野，唔怕踩雷，食完會記低心水。,foodie_photos/logo6.jpg,FALSE,7
8,User7,2025-06-21 05:23:14.923801+00:00,Male,36-45,technical,Kwun Tong,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,雖然唔係大廚，但對餸菜有要求，唔好比我食到半熟雞翼。,foodie_photos/logo7.jpg,FALSE,8
9,User8,2025-06-21 05:23:14.923801+00:00,Female,18-25,office,North,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,平時鍾意睇食評，今次都嚟分享下自己意見。,foodie_photos/logo8.jpg,FALSE,9
10,User9,2025-06-21 05:23:14.923801+00:00,Female,26-35,technical,Yau Tsim Mong,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,唔鍾意打字多，直接比星，一針見血。,foodie_photos/logo9.jpg,FALSE,10
11,User10,2025-06-21 05:23:14.923801+00:00,Female,36-45,office,Sham Shui Po,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,試過咁多間，總有幾間係你唔知嘅寶藏店。,foodie_photos/logo10.jpg,FALSE,11
12,User11,2025-06-21 05:23:14.923801+00:00,Male,56+,driver,Tai Po,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,幫屋企人揀兩餸飯，最緊要老少咸宜。,foodie_photos/logo11.jpg,FALSE,12
13,User12,2025-06-21 05:23:14.923801+00:00,Male,18-25,technical,Tsuen Wan,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,返工趕時間，兩餸飯係最快捷又實惠嘅選擇。,foodie_photos/logo12.jpg,FALSE,13
14,User13,2025-06-21 05:23:14.923801+00:00,Female,26-35,office,Wan Chai,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,有小朋友要食嘅，會特別留意清淡啲嘅餸。,foodie_photos/logo13.jpg,FALSE,14
15,User14,2025-06-21 05:23:14.923801+00:00,Female,36-45,boss,Sai Kung,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,餸多過飯先係王道，唔好俾我見到偷工減料。,foodie_photos/logo14.jpg,FALSE,15
16,User15,2025-06-21 05:23:14.923801+00:00,Female,46-55,wife,Kwun Tong,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,一星期食足五日，見到好嘅一定會推介比朋友。,foodie_photos/logo15.jpg,FALSE,16
